sku_code,description_nl,description_fr,packaging,unit,category
180740,"Tarwebloem type 55, gebuild","Farine de froment type 55, blanche",sac 5 kg,kg,Farines
257764,"Tarwebloem type 55, gebuild","Farine de froment type 55, blanche",sac 25 kg,kg,Farines
213775,"Tarwebloem type 55, gebuild","Farine de froment type 55, blanche",carton 4 x 5 kg,carton,Farines
365069,"Tarwebloem type 45, patisserie","Farine de froment type 45, pâtisserie",sac 5 kg,kg,Farines
730013,"Tarwebloem type 45, patisserie","Farine de froment type 45, pâtisserie",sac 25 kg,kg,Farines
693560,"Tarwebloem type 45, patisserie","Farine de froment type 45, pâtisserie",carton 4 x 5 kg,carton,Farines
246131,"Tarwebloem type 65, ambachtelijk","Farine de froment type 65, artisanale",sac 25 kg,kg,Farines
232354,"Tarwebloem type 65, ambachtelijk","Farine de froment type 65, artisanale",sac 5 kg,kg,Farines
252557,Volkorenbloem tarwe,Farine complète de froment,sac 25 kg,kg,Farines
815494,Volkorenbloem tarwe,Farine complète de froment,sac 5 kg,kg,Farines
985663,Volkorenbloem tarwe,Farine complète de froment,carton 4 x 5 kg,carton,Farines
297403,Roggebloem type 130,Farine de seigle type 130,sac 25 kg,kg,Farines
535744,Roggebloem type 130,,sac 5 kg,kg,Farines
119955,Speltbloem wit,Farine d'épeautre blanche,sac 25 kg,kg,Farines
410262,Speltbloem wit,Farine d'épeautre blanche,sac 5 kg,kg,Farines
669379,Broodmix bruin 50%,Mix pain gris 50%,sac 25 kg,kg,Farines
181211,Broodmix bruin 50%,Mix pain gris 50%,"sac 12,5 kg",kg,Farines
939569,Broodmix boerenbrood,Mix pain de campagne,sac 25 kg,kg,Farines
960478,Broodmix ciabatta,Mix ciabatta,sac 25 kg,kg,Farines
939871,Broodmix meergranen,Mix multicéréales,sac 25 kg,kg,Farines
828763,Broodmix meergranen,Mix multicéréales,"sac 12,5 kg",kg,Farines
154122,Maïszetmeel,Fécule de maïs,sac 1 kg,kg,Farines
531701,Maïszetmeel,Fécule de maïs,carton 10 x 1 kg,carton,Farines
294481,Maïszetmeel,Fécule de maïs,sac 5 kg,kg,Farines
707136,Paneermeel geel,Chapelure blonde,sac 5 kg,kg,Farines
928140,Paneermeel geel,Chapelure blonde,sac 1 kg,kg,Farines
997140,Kristalsuiker S2,Sucre cristallisé S2,sac 1 kg,kg,Sucres
139475,Kristalsuiker S2,Sucre cristallisé S2,sac 25 kg,kg,Sucres
625778,Kristalsuiker S2,Sucre cristallisé S2,carton 10 x 1 kg,carton,Sucres
840525,Fijne kristalsuiker S30,Sucre semoule fin S30,sac 1 kg,kg,Sucres
228754,Fijne kristalsuiker S30,Sucre semoule fin S30,sac 25 kg,kg,Sucres
685963,Fijne kristalsuiker S30,Sucre semoule fin S30,carton 10 x 1 kg,carton,Sucres
382772,Bloemsuiker,Sucre impalpable,sac 1 kg,kg,Sucres
243424,Bloemsuiker,Sucre impalpable,sac 5 kg,kg,Sucres
967380,Bloemsuiker,Sucre impalpable,carton 12 x 1 kg,carton,Sucres
309629,Bruine kandijsuiker,Cassonade brune,sac 1 kg,kg,Sucres
645322,Bruine kandijsuiker,Cassonade brune,sac 25 kg,kg,Sucres
897178,Bruine kandijsuiker,Cassonade brune,carton 10 x 1 kg,carton,Sucres
132553,Blonde kandijsuiker,Cassonade blonde,sac 1 kg,kg,Sucres
433994,Blonde kandijsuiker,Cassonade blonde,sac 25 kg,kg,Sucres
588320,Parelsuiker grof,Sucre perlé gros grain,sac 5 kg,kg,Sucres
348882,Parelsuiker grof,Sucre perlé gros grain,sac 1 kg,kg,Sucres
634272,Glucosestroop 43 DE,Sirop de glucose 43 DE,seau 7 kg,kg,Sucres
975360,Glucosestroop 43 DE,Sirop de glucose 43 DE,seau 14 kg,kg,Sucres
810738,Suikerklontjes nr 4,Sucre en morceaux n° 4,boîte 1 kg,kg,Sucres
854050,Suikerklontjes nr 4,Sucre en morceaux n° 4,carton 10 x 1 kg,carton,Sucres
343963,Vloeibare honing,Miel liquide,pot 1 kg,kg,Sucres
296558,Vloeibare honing,,seau 5 kg,kg,Sucres
835126,Fondant wit,Fondant blanc,seau 7 kg,kg,Sucres
606093,Fondant wit,Fondant blanc,seau 14 kg,kg,Sucres
615441,"Roomboter 82% VG, plaat","Beurre de laiterie 82% MG, plaque","plaque 2,5 kg",kg,Matières grasses
431256,"Roomboter 82% VG, plaat","Beurre de laiterie 82% MG, plaque","carton 4 x 2,5 kg",carton,Matières grasses
789680,"Roomboter 82% VG, plaat","Beurre de laiterie 82% MG, plaque",carton 20 x 250 g,carton,Matières grasses
420866,"Roomboter 80% VG, plaat","Beurre de laiterie 80% MG, plaque","plaque 2,5 kg",kg,Matières grasses
729561,"Roomboter 80% VG, plaat","Beurre de laiterie 80% MG, plaque","carton 4 x 2,5 kg",carton,Matières grasses
218874,Bakkerijmargarine,Margarine de boulangerie,"bloc 2,5 kg",kg,Matières grasses
135749,Bakkerijmargarine,Margarine de boulangerie,"carton 4 x 2,5 kg",carton,Matières grasses
767012,Bakkerijmargarine,Margarine de boulangerie,bloc 10 kg,kg,Matières grasses
215773,"Croissantmargarine, toervet",Margarine de feuilletage,plaque 2 kg,kg,Matières grasses
454011,"Croissantmargarine, toervet",Margarine de feuilletage,carton 5 x 2 kg,carton,Matières grasses
762740,"Croissantmargarine, toervet",Margarine de feuilletage,plaque 10 kg,kg,Matières grasses
213023,Cakemargarine,Margarine cake,"bloc 2,5 kg",kg,Matières grasses
760829,Cakemargarine,Margarine cake,"carton 4 x 2,5 kg",carton,Matières grasses
467650,Frituurvet vast,Graisse de friture solide,bloc 10 kg,kg,Matières grasses
935656,Frituurvet vast,Graisse de friture solide,carton 2 x 10 kg,carton,Matières grasses
501415,Plantaardige room 26%,Crème végétale 26%,brique 1 L,L,Matières grasses
251300,Plantaardige room 26%,Crème végétale 26%,carton 12 x 1 L,carton,Matières grasses
756037,Verse persgist,Levure fraîche pressée,pain 500 g,g,Levures et améliorants
121489,,Levure fraîche pressée,carton 20 x 500 g,carton,Levures et améliorants
881730,Verse persgist,Levure fraîche pressée,pack 10 x 42 g,pack,Levures et améliorants
114930,Droge instantgist,Levure sèche instantanée,sachet 500 g,g,Levures et améliorants
272066,Droge instantgist,Levure sèche instantanée,carton 20 x 500 g,carton,Levures et améliorants
944280,Bakpoeder,Poudre à lever,boîte 1 kg,kg,Levures et améliorants
634004,Bakpoeder,Poudre à lever,carton 10 x 1 kg,carton,Levures et améliorants
318460,Broodverbeteraar universeel,Améliorant de panification universel,sac 10 kg,kg,Levures et améliorants
592584,Broodverbeteraar universeel,Améliorant de panification universel,sac 1 kg,kg,Levures et améliorants
564259,Custardpoeder,Poudre à flan,sac 5 kg,kg,Levures et améliorants
760006,Custardpoeder,Poudre à flan,sac 1 kg,kg,Levures et améliorants
928430,Banketbakkersroom poeder,Crème pâtissière en poudre,sac 5 kg,kg,Levures et améliorants
968438,Banketbakkersroom poeder,Crème pâtissière en poudre,carton 4 x 5 kg,carton,Levures et améliorants
766566,Zonnebloemolie,Huile de tournesol,bidon 5 L,L,Huiles et vinaigres
621556,Zonnebloemolie,Huile de tournesol,bidon 10 L,L,Huiles et vinaigres
721149,Zonnebloemolie,Huile de tournesol,carton 4 x 5 L,carton,Huiles et vinaigres
961107,Frituurolie plantaardig,Huile de friture végétale,bidon 10 L,L,Huiles et vinaigres
224632,Frituurolie plantaardig,Huile de friture végétale,jerrican 25 L,L,Huiles et vinaigres
618549,Frituurolie plantaardig,Huile de friture végétale,carton 2 x 10 L,carton,Huiles et vinaigres
922327,Olijfolie extra vierge,Huile d'olive extra vierge,bouteille 1 L,L,Huiles et vinaigres
186828,Olijfolie extra vierge,Huile d'olive extra vierge,bidon 5 L,L,Huiles et vinaigres
288386,Olijfolie extra vierge,Huile d'olive extra vierge,carton 6 x 1 L,carton,Huiles et vinaigres
826691,Raapzaadolie,Huile de colza,bidon 10 L,L,Huiles et vinaigres
410052,Raapzaadolie,Huile de colza,bidon 5 L,L,Huiles et vinaigres
846789,Natuurazijn 8%,Vinaigre d'alcool 8%,bidon 5 L,L,Huiles et vinaigres
331220,Natuurazijn 8%,Vinaigre d'alcool 8%,bouteille 1 L,L,Huiles et vinaigres
469503,Gepelde tomaten,Tomates pelées entières,boîte 400 g,g,Conserves
572756,Gepelde tomaten,Tomates pelées entières,boîte 3/1,pièce,Conserves
197750,Gepelde tomaten,Tomates pelées entières,carton 6 x 3/1,carton,Conserves
568127,Tomatenblokjes,Tomates concassées,boîte 400 g,g,Conserves
933093,Tomatenblokjes,Tomates concassées,boîte 3/1,pièce,Conserves
385721,Tomatenblokjes,Tomates concassées,carton 6 x 3/1,carton,Conserves
124557,Tomatenpuree 28%,Concentré de tomates 28%,boîte 800 g,g,Conserves
539785,Tomatenpuree 28%,Concentré de tomates 28%,boîte 3/1,pièce,Conserves
932253,Zoete maïs,Maïs doux,boîte 425 ml,pièce,Conserves
501677,Zoete maïs,Maïs doux,boîte 3/1,pièce,Conserves
988412,Erwten en wortelen,Petits pois et carottes,boîte 3/1,pièce,Conserves
397745,Erwten en wortelen,Petits pois et carottes,boîte 850 ml,pièce,Conserves
372497,Witte bonen in tomatensaus,Haricots blancs à la tomate,boîte 3/1,pièce,Conserves
941019,Ananasschijven op siroop,Ananas en tranches au sirop,boîte 3/1,pièce,Conserves
